track_name,artist_name,track_popularity,track_duration_ms,explicit,artist_popularity,artist_followers,primary_genre,release_year,album_type,track_duration_min,popularity_category,true_hit,predicted_hit,similarity_to_popular_song
2002,Anne-Marie,78.0,186986.0,False,75.0,12845551.0,Unknown,2018,album,3.12,High,1,1,0.13843204443350482
2002,davvn,45.0,186120.0,False,36.0,32943.0,Unknown,2023,single,3.1,Medium,0,0,0.5676444470430633
2008,Lil Peep,53.0,103280.0,True,82.0,15684530.0,Emo Rap,2015,album,1.72,Medium,0,1,0.14964778597163272
21,Gracie Abrams,69.0,185172.0,False,82.0,7412007.0,Unknown,2020,single,3.09,High,1,1,0.06453729199460327
21 Guns,Green Day,76.0,321093.0,False,80.0,17330579.0,Punk,2009,album,5.35,High,1,1,0.1957424194751834
21 Questions,50 Cent,78.0,224440.0,True,82.0,18860205.0,East Coast Hip Hop,2003,album,3.74,High,1,1,0.10894052086462026
22,Taylor Swift,42.8,231722.6,False,100.0,145461600.2,Unknown,2012,album,3.86,Medium,0,1,0.24121392622236443
23,Mike WiLL Made-It,70.0,252520.0,True,63.0,1655889.0,Unknown,2013,single,4.21,High,1,0,0.25457207134020554
23,NLE Choppa,45.0,260530.0,True,73.0,10023089.0,Unknown,2023,single,4.34,Medium,0,0,0.17261413485416666
23,Shakira,22.0,239786.0,False,85.0,39788275.0,Latin Pop,2014,album,4.0,Low,0,1,0.14260845495640098
24,Lana Del Rey,56.0,295960.0,False,88.0,51798111.0,Unknown,2015,album,4.93,Medium,0,1,0.19314173391362272
24 Hours,Sky Ferreira,45.0,244133.0,False,54.0,640544.0,Unknown,2013,album,4.07,Medium,0,0,0.3482443951412134
24K Magic,Bruno Mars,82.0,225983.0,False,89.0,75455093.0,Unknown,2016,album,3.77,High,1,1,0.16881096263598164
25 To Life,Eminem,61.0,241586.0,True,88.0,104517308.0,Rap,2010,album,4.03,High,0,1,0.19016375261021068
2U (feat. Justin Bieber),David Guetta,63.0,194896.0,False,87.0,27139342.0,Edm,2017,single,3.25,High,0,1,0.10819628158688217
2al Sa3aban 3aleh,Sherine,45.0,278073.0,False,66.0,9684217.0,Egyptian Pop,2005,album,4.63,Medium,0,0,0.24158475238075156
2am,RIELL,40.0,155096.0,False,52.0,78423.0,Unknown,2024,single,2.58,Medium,0,0,0.4077093469238283
2nd To Me,Christian Kennedy,31.0,195719.0,True,14.0,297.0,Unknown,2025,single,3.26,Medium,0,0,0.8844513784132202
3,Britney Spears,61.0,213173.0,False,80.0,17755451.0,Pop,2009,compilation,3.55,High,0,1,0.11313067947460499
3 Nights,Dominic Fike,73.0,177666.0,False,74.0,2222327.0,Unknown,2018,album,2.96,High,1,0,0.13410943141789258
3005,Childish Gambino,4.0,234215.0,True,78.0,14559779.0,Unknown,2013,album,3.9,Low,0,1,0.12770279657684694
34+35,Ariana Grande,76.0,173710.0,True,90.0,107401919.0,Pop,2020,album,2.9,High,1,1,0.1856915351448275
360,Charli xcx,76.0,133805.0,True,82.0,6315216.0,Hyperpop,2024,album,2.23,High,1,1,0.09728597453039033
365,Charli xcx,75.0,203618.0,True,82.0,6318755.0,Hyperpop,2024,album,3.39,High,1,1,0.059770390971580996
3AM,League Minimum,36.0,151666.0,False,40.0,502.0,Unknown,2025,album,2.53,Medium,0,0,0.6679748784395036
3D (feat. Jack Harlow),Jung Kook,73.0,201812.0,True,79.0,18615260.0,K-Pop,2023,single,3.36,High,1,1,0.11938599983393967
3ayez Salamtak,Ahmed Saad,41.0,226946.0,False,61.0,6371210.0,Mahraganat,2025,album,3.78,Medium,0,0,0.2651217043983303
3la Bali,Sherine,66.0,279457.0,False,66.0,9676780.0,Egyptian Pop,2005,album,4.66,High,0,0,0.24260437265891419
4 AM,2 Chainz,58.0,255560.0,True,74.0,8305217.0,Rap,2017,album,4.26,Medium,0,0,0.1583964373138691
4 Gold Chains - (feat. Clams Casino),Lil Peep,48.0,209106.0,True,82.0,15695162.0,Emo Rap,2018,single,3.49,Medium,0,1,0.0954956297850583
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,76.0,189693.0,False,78.0,8794984.0,Unknown,2009,compilation,3.16,High,1,1,0.10230021507415613
4 Morant (Better Luck Next Time),Com Truise,71.0,171000.0,False,54.0,308503.0,Synthwave,2023,single,2.85,High,1,0,0.3559460266995474
4 Real,Avril Lavigne,41.0,208400.0,False,76.0,12004691.0,Unknown,2011,album,3.47,Medium,0,1,0.12888422837548463
405,Justin Bieber,63.0,212960.0,False,91.0,85008100.0,Unknown,2025,album,3.55,High,0,1,0.1752370080790571
44 Lies,Two Feet,42.0,195933.0,False,67.0,2177376.0,Unknown,2020,album,3.27,Medium,0,0,0.2016999763401189
4am,girl in red,0.0,110861.0,True,73.0,8765920.0,Bedroom Pop,2018,single,1.85,Low,0,0,0.18255283416382417
4th of July,X,20.0,247293.0,False,41.0,167670.0,Punk,1987,album,4.12,Low,0,0,0.49250429216012487
4x4 (feat. Nelly),Miley Cyrus,45.0,191906.0,True,81.0,26564677.0,Unknown,2013,album,3.2,Medium,0,1,0.12276076387786089
5% TINT,Travis Scott,74.0,196138.0,True,89.0,41119579.0,Rap,2018,album,3.27,High,1,1,0.13184550203471426
50 50,Unlike Pluto,33.0,180125.0,False,57.0,398642.0,Unknown,2025,album,3.0,Medium,0,0,0.3223035615318156
500lbs,Lil Tecca,78.0,144390.0,True,79.0,10166733.0,Melodic Rap,2023,album,2.41,High,1,1,0.11662373538471141
505,Arctic Monkeys,86.0,253586.0,False,84.0,32059138.0,Indie,2007,album,4.23,High,1,1,0.14280352251429188
505,Last Call,55.0,155142.0,False,49.0,2100.0,Unknown,2025,album,2.59,Medium,0,0,0.5507002102314192
5:3666,mgk,49.0,194889.0,True,78.0,5642365.0,Unknown,2019,album,3.25,Medium,0,1,0.09331221189543612
6 Foot 7 Foot,Lil Wayne,4.0,248586.0,True,86.0,17938214.0,Rap,2011,album,4.14,Low,0,1,0.11095005290251417
6 Inch (feat. The Weeknd),Beyoncé,60.0,260440.0,True,84.0,41172203.0,Unknown,2016,album,4.34,Medium,0,1,0.15825427973424422
6 Months Later,Megan Moroney,76.0,182868.0,False,73.0,1163610.0,Country,2025,single,3.05,High,1,0,0.15276672641104241
6 foot with my boots on,Cwby,39.0,172612.0,False,37.0,11588.0,Unknown,2025,single,2.88,Medium,0,0,0.5861238713621807
679 (feat. Remy Boyz),Fetty Wap,75.0,196693.0,True,70.0,5124577.0,Unknown,2015,single,3.28,High,1,0,0.17114322978832733
7 Years,Lukas Graham,41.5,237300.0,False,69.0,2946201.5,Dansk Pop,2016,album,3.96,Medium,0,0,0.18857778055651286
7 rings,Ariana Grande,84.0,178626.0,True,90.0,107401919.0,Pop,2019,album,2.98,High,1,1,0.1849263610511667
77 - feat. Avril Lavigne,Billy Idol,44.0,173842.0,False,71.0,2462227.0,Unknown,2025,single,2.9,Medium,0,0,0.1632874547205062
8,Billie Eilish,66.0,173201.0,False,90.0,118692183.0,Unknown,2019,album,2.89,High,0,1,0.19099609696567818
8 Out Of 10,Drake,63.0,195720.0,True,95.0,103094105.0,Rap,2018,album,3.26,High,0,1,0.19625347789925826
8 Years Old,RIELL,30.0,188080.0,False,52.0,78478.0,Unknown,2024,single,3.13,Low,0,0,0.404610570139441
9,Drake,80.0,255786.0,True,95.0,103126025.0,Rap,2016,album,4.26,High,1,1,0.21134266110319044
90s Better,ConKi,53.0,139970.0,False,61.0,26106.0,Unknown,2023,single,2.33,Medium,0,0,0.3752507202259849
92 Explorer,Post Malone,65.0,211426.0,True,86.0,47720209.0,Unknown,2018,album,3.52,High,0,1,0.1402421998112169
93 'Til Infinity,Souls Of Mischief,71.0,286440.0,False,54.0,380684.0,Jazz Rap,1993,album,4.77,High,1,0,0.36992727451855784
:),Glitter Party,0.0,214293.0,False,38.0,11431.0,Bedroom Pop,2020,album,3.57,Low,0,0,0.5778940172684495
A Bar Song (Tipsy),Shaboozey,82.0,171291.0,True,76.0,1449816.0,Unknown,2024,single,2.85,High,1,1,0.1235748317036074
"A Bug's Life Suite - From ""A Bug's Life""/Score",Randy Newman,40.0,312226.0,False,59.0,267614.0,Unknown,1998,album,5.2,Medium,0,0,0.3464381123034336
A Celtic Lore,Adrian Von Ziegler,39.0,199941.0,False,47.0,171819.0,Celtic,2012,album,3.33,Medium,0,0,0.431291468726286
A Drop in the Ocean,Ron Pope,63.0,220239.0,False,50.0,248615.0,Unknown,2008,album,3.67,High,0,0,0.39750291991970876
A Gangster's Wife,Ms Krazie,57.0,229640.0,True,45.0,213395.0,Latin Hip Hop,2008,album,3.83,Medium,0,0,0.44815007313852934
A Gift Of A Thistle,James Horner,30.0,97666.0,False,63.0,350647.0,Soundtrack,1995,album,1.63,Low,0,0,0.29679701117712903
"A Gift Of A Thistle - From ""Braveheart""",Eric Heitmann,37.0,109333.0,False,37.0,15732.0,Celtic,2022,single,1.82,Medium,0,0,0.5874054231063351
A Girl Called Jazz,Omido,0.0,232380.0,False,59.0,72278.0,Dark R&B,2020,single,3.87,Low,0,0,0.3516794512145203
A Guy with a Girl,Blake Shelton,61.0,189466.0,False,69.0,7507062.0,Country,2016,album,3.16,High,0,0,0.1844545359671263
A Head Full of Dreams,Coldplay,64.0,223773.0,False,88.0,60804949.0,Unknown,2015,album,3.73,High,0,1,0.15605526150406038
A Lannister Always Pays His Debts,Ramin Djawadi,0.0,170560.0,False,65.0,718418.0,Soundtrack,2013,album,2.84,Low,0,0,0.2378531867725122
A Little Death,The Neighbourhood,72.5,209706.0,False,83.0,21598900.0,Unknown,2013,album,3.5,High,1,1,0.10594360030754661
A Lonely Night,The Weeknd,63.0,220173.0,False,93.0,112918137.0,Unknown,2016,album,3.67,High,0,1,0.19637847688423077
A Lot More Free,Max McNown,70.0,198920.0,False,72.0,694143.0,Unknown,2023,single,3.32,High,1,0,0.17343868538858645
A Lowly Shoe Salesman,Ludwig Göransson,55.0,214093.0,False,64.0,424983.0,Soundtrack,2023,album,3.57,Medium,0,0,0.25749183247407764
A Message From The Count,mgk,35.0,37279.0,True,78.0,5642365.0,Unknown,2019,album,0.62,Medium,0,1,0.2219502483477386
A Milli,Lil Wayne,69.0,221840.0,True,86.0,17938214.0,Rap,2008,album,3.7,High,1,1,0.09367244517979359
A Mistake,Fiona Apple,53.0,296400.0,True,62.0,1800092.0,Art Pop,1999,album,4.94,Medium,0,0,0.28439655085123466
A NEW KIND OF LOVE,Nightlite,0.0,227200.0,False,3.0,289.0,Unknown,2021,single,3.79,Low,0,0,0.9788703042974677
A Narnia Lullaby,Harry Gregson-Williams,51.0,72880.0,False,56.0,153209.0,Soundtrack,2005,compilation,1.21,Medium,0,0,0.385245081222262
A New Kind Of Love - Demo,Frou Frou,78.0,259071.0,False,62.0,343386.0,Unknown,2022,single,4.32,High,1,0,0.2912745169679768
A Normal Life,Henry Jackman,0.0,77200.0,False,53.0,92288.0,Soundtrack,2016,album,1.29,Low,0,0,0.41926094707232514
A Peaceful Place,Jeremy Zuckerman,27.0,123306.0,False,43.0,23528.0,Unknown,2013,album,2.06,Low,0,0,0.5225603206817336
A Place In The Dark,Klaas,31.0,159565.0,False,62.0,141180.0,Slap House,2023,single,2.66,Medium,0,0,0.3064777804768274
A Place for My Head,Linkin Park,75.0,184640.0,False,88.0,31796892.0,Nu Metal,2000,album,3.08,High,1,1,0.11769231454560973
A Place in this World,Taylor Swift,38.0,200640.0,False,100.0,145466469.0,Unknown,2006,album,3.34,Medium,0,1,0.23658588588990082
A Real Good Bad One,Joe Hermes,31.0,164000.0,False,23.0,1518.0,Unknown,2025,single,2.73,Medium,0,0,0.762533479017631
A Real Hero (feat. Electric Youth),College,0.0,267720.0,False,46.0,120141.0,Synthwave,2011,compilation,4.46,Low,0,0,0.457552861728155
A Sky Full of Stars,Coldplay,85.0,267866.0,False,88.0,60804949.0,Unknown,2014,album,4.46,High,1,1,0.17812435149749545
A Soft Embrace,Deep Inside,0.0,158133.0,False,19.0,3154.0,Unknown,2014,album,2.64,Low,0,0,0.7773427640207417
A Son's Path,Bear McCreary,43.0,210970.0,False,59.0,241463.0,Celtic,2022,album,3.52,Medium,0,0,0.3151526470742222
A Steamer to Brazil,James Newton Howard,21.0,116960.0,False,62.0,412759.0,Soundtrack,2021,album,1.95,Low,0,0,0.29230712769909767
A Story You Won't Believe,Marcin Przybyłowicz,48.0,97845.0,False,56.0,90075.0,Medieval,2015,album,1.63,Medium,0,0,0.3868227364988854
A Story of Boy Meets Girl,Mychael Danna,25.0,95386.0,False,50.0,34710.0,Soundtrack,2009,compilation,1.59,Low,0,0,0.4621823472312641
A Tavern On The Riverbank,Adam Skorupa,46.0,103516.0,False,42.0,17017.0,Medieval,2015,album,1.73,Medium,0,0,0.5447126260920698
"A Tender Feeling (From ""Sword Art Online"")",daigoro789,0.0,121386.0,False,50.0,38492.0,Unknown,2018,album,2.02,Low,0,0,0.4512671656907104
A Thief's End,Henry Jackman,0.0,114933.0,False,53.0,92288.0,Soundtrack,2016,album,1.92,Low,0,0,0.40448551648968284
A Thousand Bad Times,Post Malone,64.0,221173.0,True,86.0,47722935.0,Unknown,2019,album,3.69,High,0,1,0.14283524023457897
A Thousand Miles,Vanessa Carlton,30.0,237466.5,False,63.0,715772.0,Unknown,2011,compilation,3.96,Low,0,0,0.2606242701873759
A Time of Quiet Between the Storms,Hans Zimmer,60.0,261795.0,False,77.0,4780589.0,Soundtrack,2024,album,4.36,Medium,0,1,0.13289494526822337
A Watchful Guardian,Hans Zimmer,46.0,402360.0,False,77.0,4777574.0,Soundtrack,2008,album,6.71,Medium,0,1,0.2852847178070297
A Way of Life,Hans Zimmer,57.0,483706.0,False,77.0,4779199.0,Soundtrack,2003,album,8.06,Medium,0,1,0.384067796810726
A Window to the Past,John Williams,59.0,234040.0,False,70.0,1605379.0,Soundtrack,2004,compilation,3.9,Medium,0,0,0.18236810146034238
A World Alone,Lorde,70.0,294222.0,False,80.0,10541250.0,Unknown,2013,album,4.9,High,1,1,0.15662180197162134
A Year Ago,James Arthur,67.0,170830.0,False,79.0,20854863.0,Soft Pop,2023,single,2.85,High,1,1,0.12715541975574876
ACHO PR,Bad Bunny,70.0,359647.0,True,95.0,102500980.0,Reggaeton,2023,album,5.99,High,1,1,0.28824103632515624
ADD,Khantrast,68.0,157509.0,True,62.0,394628.0,Anime Rap,2025,single,2.63,High,1,0,0.2799343904443917
ALIEN SUPERSTAR,Beyoncé,67.0,215459.0,True,84.0,41176723.0,Unknown,2022,album,3.59,High,1,1,0.1364584812456472
ALL I CAN TAKE,Justin Bieber,71.0,247546.0,False,91.0,85050158.0,Unknown,2025,album,4.13,High,1,1,0.18662506738075535
ALL I WANTED WAS U,Ex Habit,59.0,207223.0,False,59.0,130298.0,Dark R&B,2024,single,3.45,Medium,0,0,0.3310352981261405
ALL NIGHT LONG,Mishaal Tamer,54.0,213720.0,True,58.0,192735.0,Unknown,2024,album,3.56,Medium,0,0,0.3297532725083959
ALL UP IN YOUR MIND,Beyoncé,58.0,169819.0,True,84.0,41180800.0,Unknown,2022,album,2.83,Medium,0,1,0.13744707512131155
ALLES DOPE,CRO,43.0,144632.0,True,68.0,2784129.0,German Hip Hop,2021,album,2.41,Medium,0,0,0.20084277872587802
ALWAYS BEEN YOU,Chris Grey,66.0,128500.0,False,72.0,968416.0,Dark R&B,2024,album,2.14,High,0,0,0.1855492120944464
AMERICA HAS A PROBLEM,Beyoncé,65.0,198897.0,True,84.0,41176723.0,Unknown,2022,album,3.31,High,0,1,0.13388849253191562
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,61.0,260962.0,True,84.0,41176723.0,Unknown,2023,single,4.35,High,0,1,0.15867106911302697
ANGELS LIKE YOU,Umur Anil Gokdag,42.0,116284.0,False,56.0,18834.0,Unknown,2024,single,1.94,Medium,0,0,0.42870434418380043
ANXIETY (feat. Doechii),Sleepy Hallow,72.0,148928.0,True,70.0,2542055.0,Brooklyn Drill,2023,album,2.48,High,1,0,0.18063508920470864
ANYMORE,ASH7ON,18.0,174928.0,True,7.0,308.0,Unknown,2025,single,2.92,Low,0,0,0.942355876176457
APT.,ROSÉ,85.5,169917.0,False,78.0,13317043.0,K-Pop,2024,album,2.83,High,1,1,0.11848008056807509
AQUAFINA (feat. Rich The Kid),Lil Peep,45.0,182560.0,True,82.0,15684530.0,Emo Rap,2019,album,3.04,Medium,0,1,0.09476700206296962
ARCHITECT,J. Baez,23.0,148571.0,False,7.0,60.0,Unknown,2025,single,2.48,Low,0,0,0.9920525575341823
ASTROTHUNDER,Travis Scott,77.0,142969.0,True,89.0,41107596.0,Rap,2018,album,2.38,High,1,1,0.14745672145937394
ATLiens,Outkast,68.0,230693.0,True,73.0,3380735.0,Southern Hip Hop,1996,album,3.84,High,1,0,0.14742381167192836
AUSMACHT,Emilio,49.0,148973.0,False,45.0,135139.0,German Pop,2022,album,2.48,Medium,0,0,0.4583203013494644
"Aa Zara (From ""Murder 2"")",Sunidhi Chauhan,15.0,297401.0,False,74.0,17579633.0,Bollywood,2024,compilation,4.96,Low,0,0,0.20400693057867872
About A Girl,Nirvana,60.0,166640.0,False,81.0,23384088.0,Grunge,2002,compilation,2.78,Medium,0,1,0.12208293932279712
About A Girl - Live,Nirvana,61.0,218000.0,False,81.0,23384088.0,Grunge,1994,album,3.63,High,0,1,0.12063463056328509
About A Girl - Live At The Paramount,Nirvana,22.0,193346.0,False,81.0,23398010.0,Grunge,1991,album,3.22,Low,0,1,0.1168880299991923
About Damn Time,Lizzo,8.0,191822.0,True,68.0,5738825.0,Unknown,2022,single,3.2,Low,0,0,0.19173228047151616
About You,The 1975,86.0,326490.0,False,76.0,7959873.0,Unknown,2022,album,5.44,High,1,1,0.2062488329343689
About You Now,Sugababes,63.0,212400.0,False,58.0,733057.0,Unknown,2007,album,3.54,High,0,0,0.3027857869521968
About You Now (How I Feel),Niklas Dee,57.0,162352.0,False,64.0,84852.0,Hypertechno,2023,single,2.71,Medium,0,0,0.3066427145223283
Above the Clouds,ConKi,56.0,157302.0,False,61.0,26095.0,Unknown,2023,single,2.62,Medium,0,0,0.3717571994350155
Abracadabra,Lady Gaga,74.66666666666667,223398.0,False,88.33333333333333,42256649.333333336,Art Pop,2025,album,3.72,High,1,1,0.1374671270092978
Absence of Gravity,Audio Dope,32.0,236987.0,False,31.0,15288.0,Lo-Fi House,2020,single,3.95,Medium,0,0,0.6329225383217774
Absinthe,I DONT KNOW HOW BUT THEY FOUND ME,56.0,183653.0,False,57.0,1105908.0,Unknown,2018,single,3.06,Medium,0,0,0.3066666232095434
Absolutely Exhausting,James Newton Howard,19.0,60080.0,False,62.0,412886.0,Soundtrack,2021,album,1.0,Low,0,0,0.3244262802500243
Acapulco,BRAN,1.0,117517.0,False,47.0,9575.0,Afro House,2024,single,1.96,Low,0,0,0.5184033908646873
Accent (feat. GloRilla),Megan Thee Stallion,49.0,199741.0,True,76.0,10890822.0,Unknown,2024,album,3.33,Medium,0,1,0.12530727697662955
Ace of Spades,Motörhead,7.0,166360.0,False,63.0,4480295.0,Heavy Metal,1980,album,2.77,Low,0,0,0.24301820548325548
Ache,FKA twigs,37.0,300000.0,False,64.0,1441913.0,Art Pop,2012,single,5.0,Medium,0,0,0.27111023242588034
Achilles Come Down,Gang of Youths,65.0,422146.0,True,53.0,418614.0,Unknown,2017,album,7.04,High,0,0,0.46244272328294744
Acquainted,The Weeknd,50.333333333333336,348872.3333333333,True,93.66666666666667,112984294.66666667,Unknown,2024,compilation,5.81,Medium,0,1,0.2781190601731145
"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")",John Williams,59.0,333346.0,False,70.0,1604690.0,Soundtrack,2002,album,5.56,Medium,0,0,0.2499721585617805
Actually Romantic,Taylor Swift,93.0,163699.0,True,100.0,145396321.0,Unknown,2025,album,2.73,High,1,1,0.23966716940219368
Addicted - Joel Corry Remix,Zerb,23.0,147153.0,True,69.0,174981.0,Afro House,2024,single,2.45,Low,0,0,0.2484753066100803
Addicted To You,Avicii,72.0,148386.0,False,79.0,23434221.0,Edm,2013,album,2.47,High,1,1,0.14135010567925985
Addicts (feat. M Huncho),Unknown T,45.0,216480.0,True,53.0,367831.0,Uk Drill,2020,album,3.61,Medium,0,0,0.36188721240544747
Adore You,Harry Styles,78.0,207133.0,False,80.0,34136120.0,Unknown,2019,album,3.45,High,1,1,0.14019961126978814
Adore You,Miley Cyrus,77.0,278746.0,False,81.0,26561582.0,Unknown,2013,album,4.65,High,1,1,0.16372309824523162
